# PcbXY Version 1.0
# Date: Sat 29 Jun 2013 11:13:34 GMT UTC
# Author: Richard Barlow
# Title: (unknown) - PCB X-Y
# RefDes, Description, Value, X, Y, rotation, top/bottom
# X,Y in mil.  rotation in degrees.
# --------------------------------------------
J3,"camcon_38_4_sr.fp","sr-cn-minicamcon4w",1023.62,551.18,0,top
TP5,"TP_sr.fp","sr-nothing",2129.92,744.09,0,bottom
(unknown),"(unknown)","M3_mounting_hole",531.50,3011.81,0,top
(unknown),"(unknown)","M3_mounting_hole",531.50,531.50,0,top
(unknown),"(unknown)","M3_mounting_hole",2303.15,531.50,0,top
(unknown),"(unknown)","M3_mounting_hole",2303.15,3011.81,0,top
C35,"0603_sr.fp","sr-c-100n-0603-50v",1015.75,1927.17,0,top
C36,"1206_sr.fp","sr-c-10u-1206-16v",1183.07,2013.78,270,top
C33,"0603_sr.fp","sr-c-100n-0603-50v",2275.59,1927.17,0,top
C34,"1206_sr.fp","sr-c-10u-1206-16v",1645.67,2013.78,270,top
C48,"0603_sr.fp","sr-c-100n-0603-50v",944.88,2791.34,0,top
R51,"0603_sr.fp","sr-r-10k",787.40,2791.34,0,top
C44,"0603_sr.fp","sr-c-100n-0603-50v",1889.76,2791.34,0,top
D15,"SOT23_sr.fp","sr-d-bat754a",1417.32,1538.71,180,top
R58,"0402_sr.fp","sr-r-10k-0402",1358.27,1838.58,0,top
R59,"0402_sr.fp","sr-r-10k-0402",1456.69,1624.02,0,top
Q3,"SOT23_sr.fp","sr-npn-bc846b",1417.32,1735.56,180,top
R60,"0402_sr.fp","sr-r-10k-0402",1377.95,1624.02,0,top
U3,"QFN32_5_EP_sr.fp","sr-ic-ft232rq",2159.45,807.09,180,top
C1,"0805_sr.fp","sr-c-4u7-0805-10v",2356.30,706.69,180,top
C19,"0603_sr.fp","sr-c-47n-0603-50v",2053.15,466.54,90,top
R9,"0402_sr.fp","sr-r-1000k-0402",2053.15,564.96,270,top
C11,"0402_sr.fp","sr-c-100n-0402-16v",2021.65,722.44,90,top
C7,"0402_sr.fp","sr-c-100n-0402-16v",2326.77,903.54,0,top
C21,"0402_sr.fp","sr-c-100n-0402-16v",755.91,643.70,90,top
L6,"0402_sr.fp","sr-fb-200m-1k-0402",716.54,643.70,270,top
F1,"1206_sr.fp","sr-fuse-r50-1206",870.08,643.70,0,top
D2,"SOD123_sr.fp","sr-d-mmsz4689t1g",2127.95,500.00,90,top
D1,"SOT23_sr.fp","sr-d-bat754c",2343.18,811.02,90,top
C13,"0402_sr.fp","sr-c-100n-0402-16v",1405.51,427.17,0,top
C17,"0402_sr.fp","sr-c-10n-0402-25v",1964.57,704.72,0,top
Q1,"SOT23_sr.fp","sr-npn-bc846b",2347.11,1340.55,90,top
C26,"0603_sr.fp","sr-c-470n-0603-25v",2261.81,1344.49,270,top
TP38,"TP_sr.fp","sr-nothing",984.25,3031.50,0,bottom
TP28,"TP_sr.fp","sr-nothing",2007.87,3031.50,0,bottom
TP37,"TP_sr.fp","sr-nothing",826.77,3031.50,0,bottom
TP27,"TP_sr.fp","sr-nothing",1850.39,3031.50,0,bottom
TP36,"TP_sr.fp","sr-nothing",1141.73,1338.58,0,bottom
TP35,"TP_sr.fp","sr-nothing",826.77,1181.10,0,bottom
TP34,"TP_sr.fp","sr-nothing",1102.36,1259.84,0,bottom
TP33,"TP_sr.fp","sr-nothing",629.92,1377.95,0,bottom
TP32,"TP_sr.fp","sr-nothing",1614.17,1299.21,0,bottom
TP31,"TP_sr.fp","sr-nothing",531.50,1259.84,0,bottom
TP30,"TP_sr.fp","sr-nothing",551.18,1141.73,0,bottom
TP29,"TP_sr.fp","sr-nothing",472.44,1141.73,0,bottom
TP26,"TP_sr.fp","sr-nothing",1417.32,1220.47,0,bottom
TP25,"TP_sr.fp","sr-nothing",748.03,1181.10,0,bottom
TP24,"TP_sr.fp","sr-nothing",708.66,1102.36,0,bottom
TP23,"TP_sr.fp","sr-nothing",1299.21,1141.73,0,bottom
TP22,"TP_sr.fp","sr-nothing",1614.17,944.88,0,bottom
TP21,"TP_sr.fp","sr-nothing",1574.80,1102.36,0,bottom
TP20,"TP_sr.fp","sr-nothing",984.25,1062.99,0,bottom
TP19,"TP_sr.fp","sr-nothing",757.87,1025.59,0,bottom
TP18,"TP_sr.fp","sr-nothing",1299.21,1220.47,0,bottom
TP16,"TP_sr.fp","sr-nothing",1417.32,2007.87,0,bottom
TP12,"TP_sr.fp","sr-nothing",2125.98,905.51,0,bottom
TP10,"TP_sr.fp","sr-nothing",2204.72,708.66,0,bottom
TP13,"TP_sr.fp","sr-nothing",1653.54,748.03,0,bottom
TP1,"TP_sr.fp","sr-nothing",2362.20,708.66,0,bottom
TP2,"TP_sr.fp","sr-nothing",2047.24,551.18,0,bottom
TP8,"TP_sr.fp","sr-nothing",472.44,1062.99,0,bottom
TP7,"TP_sr.fp","sr-nothing",1496.06,511.81,0,bottom
TP6,"TP_sr.fp","sr-nothing",1417.32,511.81,0,bottom
C12,"0805_sr.fp","sr-c-4u7-0805-10v",921.26,757.87,90,top
C10,"0402_sr.fp","sr-c-100n-0402-16v",862.20,791.34,90,top
C8,"0402_sr.fp","sr-c-100n-0402-16v",421.26,931.10,270,top
C6,"0402_sr.fp","sr-c-100n-0402-16v",561.02,1389.76,0,top
C5,"0402_sr.fp","sr-c-100n-0402-16v",805.12,1389.76,0,top
C16,"0603_sr.fp","sr-c-1u-0603-16v",1025.59,1320.87,270,top
C15,"0402_sr.fp","sr-c-100n-0402-16v",986.22,1192.91,90,top
L5,"0402_sr.fp","sr-fb-200m-1k-0402",1555.12,789.37,0,top
L4,"0402_sr.fp","sr-fb-200m-1k-0402",1480.31,789.37,0,top
C14,"0402_sr.fp","sr-c-100n-0402-16v",1405.51,789.37,0,top
